genome	completeness	contamination	quality	5S_rRNA	SSU_rRNA	LSU_rRNA	tRNA	MIMAG_quality	GC	N50	size	gtdb.tax	ncbi.tax	LDA.group	LDA.score	LDA.p	AMO	HAO	NXR	NAP	NAR	NAS	NIR	PPK1	PPK2	PPX	protein.num	Cd_O_coverM	Ni_O_coverM	Cr_O_coverM	Cd_L_1_coverM	Cd_L_2_coverM	Cd_L_3_coverM	Cd_M_1_coverM	Cd_M_2_coverM	Cd_M_3_coverM	Cd_H_1_coverM	Cd_H_2_coverM	Cd_H_3_coverM	Ni_L_1_coverM	Ni_L_2_coverM	Ni_L_3_coverM	Ni_M_1_coverM	Ni_M_2_coverM	Ni_M_3_coverM	Ni_H_1_coverM	Ni_H_2_coverM	Ni_H_3_coverM	Cr_L_1_coverM	Cr_L_2_coverM	Cr_L_3_coverM	Cr_M_1_coverM	Cr_M_2_coverM	Cr_M_3_coverM	Cr_H_1_coverM	Cr_H_2_coverM	Cr_H_3_coverM	CK_1_coverM	CK_2_coverM	CK_3_coverM	s6_coverM	s14_coverM	s15_coverM	s26_coverM	Cd_O	Ni_O	Cr_O	Cd_L_1	Cd_L_2	Cd_L_3	Cd_M_1	Cd_M_2	Cd_M_3	Cd_H_1	Cd_H_2	Cd_H_3	Ni_L_1	Ni_L_2	Ni_L_3	Ni_M_1	Ni_M_2	Ni_M_3	Ni_H_1	Ni_H_2	Ni_H_3	Cr_L_1	Cr_L_2	Cr_L_3	Cr_M_1	Cr_M_2	Cr_M_3	Cr_H_1	Cr_H_2	Cr_H_3	CK_1	CK_2	CK_3	s6	s14	s15	s26
MAG-113	52.65	1.304	46.13	Absent	Absent	Absent	13	Medium	0.709	3807	2326688	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__SYSU-D60007;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	CK	2.789620975	1.16E-04	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	0	0.040648993	0.037962407	0.0712015	0.03830944	0.04676107	0.0455431	0.013699185	0.018749274	0.018945016	0.005226149	0.006139408	0.005721546	0.01881092	0.01690396	0.016494393	0.018004889	0.02374877	0.022810578	0.00413759	0.004126244	0.004538531	0.00667975	0.00733056	0.007746313	0.006752763	0.007718162	0.007455353	0.010434057	0.010510346	0.011281873	0.08951758	0.10558298	0.038897313	0.009488601	0.03333592	0.033893812	0.029235918	1.754294	1.664731	3.202035	1.298811	1.6497715	1.642582	0.343699	0.541338	0.545013	0.112659	0.12218	0	0.571731	0.5741785	0.5000425	0.546684	0.794526	0.79451	0.072972	0	0.039604	0	0	0	0.101377	0	0.040363	0.053068	0	0	5.330948	4.053523	1.359935	0.119438	1.169061	1.156495	1.240173
MAG-114	73.58	3.043	58.365	Absent	Absent	Absent	18	Medium	0.706	10272	4277275	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA2562;f__UBA2562;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	-	-	-	Absent	Absent	Absent	Present	Absent	Absent	Present	Present	Absent	Present	0	0.059518836	0.09133803	0.05712412	0.06483191	0.06762251	0.063953534	0.10326889	0.09200458	0.08861209	0.013678651	0.01377812	0.013443924	0.016689135	0.015978832	0.01606437	0.004650814	0.005435983	0.005126163	0.002825387	0.002898135	0.003011877	0.003149487	0.003907979	0.003792277	0.003497743	0.003756439	0.003822162	0.004307733	0.004488524	0.004387374	0.055131756	0.11969136	0.17090426	0.006711535	0.08007559	0.016223218	0.0736385	2.71262	4.440339	2.612766	2.218024	2.368917	2.243379	3.337984	3.140557	3.080403	0.511837	0.53554	0.537712	0.521378	0.507467	0.491062	0.115942	0.151768	0.144386	0.025233	0	0.020118	0.06624	0.033012	0.050305	0.054047	0.053938	0.065801	0.04538	0.044261	0.046395	3.249143	4.545663	5.442363	0.092322	2.694119	0.529211	3.083946
MAG-115	96.35	2.155	85.575	Absent	Absent	Absent	20	Medium	0.67	19083	3433173	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__2-12-FULL-67-15;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	Cd	3.350959206	3.16E-06	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	0	0.12460346	0.055761732	0.11566067	0.1499989	0.18817441	0.17966355	0.55718356	0.80483073	0.78524154	0.12325491	0.14851536	0.14515597	0.014574154	0.016328396	0.016437193	0.052617308	0.06329002	0.06256759	0.021817723	0.019196065	0.02070038	0.011157021	0.012404959	0.01160189	0.01247575	0.010270363	0.010232999	0.011397311	0.010040127	0.009497267	0.26350316	0.17689818	0.18039508	0.015191408	0.43807477	0.06100605	0.6098021	5.585876	2.596023	4.899396	5.097439	6.574858	6.343563	17.294061	26.296733	26.563178	4.607565	5.613796	5.543416	0.48513	0.551218	0.547784	1.721809	2.335767	2.272533	0.709072	0.611006	0.695658	0.405756	0.511682	0.444825	0.427512	0.382261	0.379359	0.2970315	0.27118	0.239336	14.643864	6.388619	5.384209	0.545994	13.893915	1.9705485	23.679822
MAG-116	95.64	1.757	86.855	Absent	Absent	Absent	19	Medium	0.667	47683	3308831	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__2-12-FULL-67-15;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	2	0.13150609	0.049706556	0.113538325	0.10160822	0.14332832	0.1371233	0.24276604	0.26446107	0.2600946	0.07525255	0.096551545	0.0943211	0.003826364	0.004540902	0.004071892	0.038806085	0.037374366	0.038723107	0.02479166	0.024267547	0.025817037	0.03783909	0.03595967	0.03443322	0.06331416	0.052972954	0.051768757	0.03427993	0.029817427	0.02992575	0.2970091	0.112682864	0.11999967	0.030096635	0.17027208	0.03872278	0.19124305	5.898035	2.516615	4.93687	3.454406	5.013797	4.941417	7.440891	8.702997	8.701249	2.814434	3.7742	3.71176	0.120803	0.141321	0.1199	1.290392	1.40037	1.428688	0.804085	0.838284	0.859723	1.317046	1.41989	1.324622	2.068625	1.852517	1.761709	1.021729	1.020522	1.044789	16.743345	4.175523	3.710935	1.057252	5.370797	1.251077	7.741671
MAG-117	85.11	1.884	75.69	Absent	Absent	Absent	15	Medium	0.653	24221	3279094	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	0	0.0084763	0.011333386	0.01050732	0.025426958	0.028359527	0.029296545	0.016832456	0.020952363	0.020651946	0.011817416	0.012609311	0.012252146	0.0397486	0.03798017	0.037959576	0.020245776	0.028243454	0.027789088	0.009346698	0.01186513	0.011488394	0.025008587	0.026341412	0.026894035	0.009739565	0.010448097	0.011235208	0.006079681	0.006503873	0.006607526	0.022249417	0.05918026	0.007932538	0.025843097	0.018586464	0.043585118	0.017873915	0.38483	0.554695	0.488401	0.864308	1.003634	1.100445	0.537597	0.680016	0.692397	0.438622	0.486425	0.448906	1.270879	1.297372	1.226175	0.676099	1.118145	1.052027	0.303256	0.403993	0.383306	0.89759	1.039309	1.047198	0.336706	0.351468	0.41807	0.113509	0.144429	0.135225	1.346273	2.258076	0.274784	0.906207	0.605615	1.418513	0.767504
MAG-118	96.72	1.425	89.595	Present	Absent	Present	20	Medium	0.672	646796	2559485	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Qipengyuania;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altererythrobacter;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	10	0.003546406	0.004517795	0.003289651	0.003098359	0.003190973	0.00319446	0.002945406	0.003943809	0.00390381	3.0786035	2.9874852	2.921644	0.001688392	0.001645562	0.001811639	0.001574423	0.001961097	0.002116685	0.007629047	0.008649815	0.008623609	0.003689769	0.004745881	0.004589418	0.002089988	0.002249324	0.0021627	0.004780848	0.00394217	0.00418581	0.004770624	0.003748449	0.002482605	0.002462925	0.003128555	0.001896632	0.002550927	0.162872	0.305986	0.199343	0.163959	0.14043	0.124416	0.107586	0.14621	0.158458	112.039488	112.22198	111.790349	0.051443	0.060009	0.063955	0.086572	0.090673	0.110081	0.104061	0.106996	0.126305	0.079763	0.077495	0.084095	0.077161	0.085184	0.071663	0.123263	0.049225	0.049659	0.429013	0.182388	0.112115	0.121457	0.111724	0.082329	0.154796
MAG-119	97.42	1.646	89.19	Present	Absent	Present	20	Medium	0.662	68337	3928115	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	-	-	-	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	12	0.002916955	0.006605001	0.002819001	0.00182852	0.001709998	0.001688179	0.001221542	0.001339326	0.001353606	0.001363829	0.001604485	0.001534237	0.001928416	0.001913327	0.001751553	0.001196199	0.001646575	0.001707023	0.3437069	0.34390223	0.36598513	0.001563068	0.001962565	0.002080346	0.001023234	0.001113469	0.001265529	0.00240407	0.002524184	0.002464186	0.005329649	0.001709495	0.001176139	0.002037631	0.001161466	0.001412255	0.001859352	0.166859	0.400272	0.152122	0.075502	0.08317	0.068902	0.043546	0.045403	0.052336	0.039887	0.048297	0.058131	0.046568	0.043019	0.050376	0.036381	0.062004	0.0689	10.421409	10.798598	11.033315	0.058203	0.078475	0.05764	0.050281	0.048539	0.063993	0.049171	0.051215	0.049812	0.442477	0.101582	0.059703	0.083048	0.049859	0.038424	0.099366
MAG-120	99.42	2.997	84.435	Present	Absent	Present	20	Medium	0.648	161132	3880343	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	Ni	3.801183449	1.07E-04	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Present	48	0.003283073	0.00684943	0.002905652	0.00171582	0.001642714	0.001741314	0.001442278	0.001730555	0.001947727	0.001453592	0.001663982	0.001851904	0.008697318	0.00645547	0.006274694	0.007372898	0.025920795	0.02688525	2.1296158	2.2767894	2.3834906	0.00175857	0.002571282	0.00245043	0.001077107	0.00123134	0.00116415	0.002408786	0.0019961	0.001855186	0.006482377	0.001669809	0.00252109	0.002497691	0.001855935	0.017481867	0.002621643	0.214186	0.473149	0.199639	0.078365	0.096551	0.091527	0.078476	0.082779	0.082898	0.051309	0.09201	0.102251	0.26192	0.219635	0.213608	0.24558	0.953282	0.958323	69.015038	76.630065	77.270167	0.091266	0.098093	0.085678	0.062876	0.077444	0.063067	0.072811	0.060192	0.05802	0.476532	0.115336	0.066032	0.085321	0.074062	0.548016	0.110972
MAG-121	98.01	2.743	84.295	Present	Absent	Present	19	Medium	0.64	144879	3859738	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	Ni	4.126442989	3.56E-06	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	55	0.002897755	0.005402355	0.003757274	0.001585198	0.001303264	0.001248064	7.95E-04	9.25E-04	9.17E-04	0.00105922	0.001251197	0.001080104	0.026701478	0.026131717	0.025909763	0.06854305	0.12346449	0.121112026	4.6564326	4.9261785	5.1134844	0.015320865	0.021425528	0.02140959	0.010675604	0.013472954	0.013216233	0.028000142	0.026907476	0.027515426	0.008997939	0.001683521	0.001328649	0.007251347	8.66E-04	0.09757668	0.001903751	0.179967	0.362802	0.22274	0.078674	0.091376	0.066176	0.032304	0.053263	0.053605	0.035884	0.039756	0.034281	0.830059	0.823335	0.819483	2.191894	4.606825	4.202865	148.95492	163.154976	164.748573	0.618217	0.961287	0.921055	0.407956	0.488948	0.47958	0.889425	0.987487	1.016369	0.62283	0.083415	0.068568	0.33344	0.052681	3.008588	0.111509
MAG-122	63.08	0	63.08	Absent	Absent	Absent	16	Medium	0.694	3055	2178820	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__	-	-	-	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	0	0.007700391	0.009472666	0.016307453	0.03710074	0.03916954	0.03856468	0.006967635	0.007933943	0.007909294	0.001206167	0.00131297	0.001472929	0.037802324	0.038233638	0.036481977	0.010212769	0.016211374	0.015646528	0.00334702	0.003360702	0.003449772	0.009328356	0.009999565	0.010651211	0.006828076	0.007517087	0.007106392	0.004531771	0.00457772	0.005124971	0.029721301	0.3373879	0.007927671	0.023259332	0.014846415	0.042497993	0.042495154	0.306462	0.409466	0.731456	1.34096	1.423428	1.359404	0.185971	0.205629	0.2159125	0	0	0	1.2744615	1.1880315	1.208181	0.2933595	0.5279965	0.540462	0	0	0	0.304753	0.361424	0.327472	0.163109	0.173657	0.176295	0	0	0	1.799698	13.05177	0.255042	0.821516	0.470317	1.472231	1.903227
MAG-123	97.48	2.904	82.96	Absent	Absent	Absent	20	Medium	0.666	124975	3835440	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	Cr	2.892170302	3.13E-04	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	7	0.03924747	0.05104519	0.04021362	0.01777477	0.026531134	0.025611699	0.010353831	0.013247393	0.013242018	0.002811164	0.003426269	0.003155657	0.094283015	0.082104765	0.08233972	0.012235081	0.015810018	0.016140707	0.003425194	0.003364779	0.003536086	0.17740494	0.09877164	0.101726085	0.09883375	0.11384197	0.11789011	0.07877985	0.08705448	0.088019036	0.084334865	0.022401927	0.003037232	0.2710136	0.020802882	0.04502895	0.006038931	1.727626	2.466697	1.76323	0.606787	0.934182	0.887747	0.337631	0.444193	0.460459	0.129668	0.150987	0.136884	2.888526	2.632888	2.555013	0.412518	0.595516	0.596205	0.124126	0.138449	0.125368	5.886254	3.711697	3.663984	3.087116	3.689457	3.836315	2.245697	2.71585	2.75781	4.767473	0.793825	0.111282	9.127676	0.671012	1.379371	0.270487
MAG-124	94.11	0.883	89.695	Present	Absent	Absent	20	Medium	0.661	63976	3788555	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	Cr	3.203156275	4.59E-05	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	8	0.016350636	0.020461364	0.015823966	0.009996168	0.013410465	0.013695571	0.007177041	0.008422615	0.008512113	0.001541508	0.001456469	0.00141994	0.012920929	0.012660975	0.012154096	0.003533196	0.004331138	0.004034209	0.001712989	0.001628826	0.001649465	0.3227524	0.1583531	0.16226907	0.18142383	0.21088243	0.21274175	0.19723117	0.22578345	0.22607394	0.029240936	0.012779976	0.002626408	0.36664963	0.01140329	0.008115391	0.006637578	0.75977	0.924449	0.691932	0.343816	0.485197	0.513581	0.234612	0.303213	0.310032	0.056865	0.060161	0.062486	0.396066	0.413639	0.367877	0.107356	0.18339	0.136496	0.051326	0.04479	0.051079	11.378523	6.195021	6.201788	5.83805	6.971819	6.924171	5.820565	7.315721	7.56348	1.622986	0.476066	0.104995	12.343973	0.371832	0.235796	0.32717
MAG-125	89.6	1.235	83.425	Absent	Absent	Absent	20	Medium	0.643	44722	3583112	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	Ni	2.704422196	6.09E-05	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Present	Absent	4	0.004025369	0.010755107	0.003915115	0.00667769	0.006909353	0.006627096	0.003175787	0.002994884	0.002969988	5.69E-04	5.69E-04	5.22E-04	0.14566682	0.13107875	0.13302769	0.03337041	0.037845414	0.035330392	0.018768175	0.019648643	0.019883268	0.00595537	0.004164258	0.004237082	0.00417262	0.004472585	0.004442678	0.005805621	0.006496689	0.006422926	0.012275785	0.012007106	0.003666835	0.007802084	0.005570495	0.13322617	0.003919314	0.151417	0.408531	0.159018	0.155778	0.146213	0.155934	0.073629	0.086837	0.079041	0.017077	0.016682	0.006071	4.503111	4.319045	4.181462	1.062703	1.389825	1.284297	0.629316	0.683284	0.646091	0.065551	0.089635	0.081336	0.059513	0.070551	0.066525	0.099819	0.097181	0.108113	0.465826	0.317846	0.083846	0.092956	0.107903	4.157711	0.141912
MAG-126	54.69	1.398	47.7	Present	Absent	Absent	15	Medium	0.637	3409	2115684	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	-	-	-	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Present	Absent	4	0.025533501	0.1116676	0.028487368	0.08597454	0.09371535	0.09297321	0.037155244	0.036395613	0.03664599	0.001662166	0.001771382	0.001895013	0.044414826	0.04436084	0.04477238	0.06331344	0.053025946	0.05168498	0.001314595	0.001226155	0.001369603	0.004323579	0.003581247	0.004418957	0.004077779	0.003947983	0.003801603	0.003345168	0.003753308	0.004039426	0.1291279	0.17118984	0.053306587	0.008004324	0.08200836	0.1281718	0.044951327	0.823019	3.943891	0.827384	2.28685	2.655797	2.611571	0.950768	0.955335	0.942678	0	0	0	1.095894	1.140127	1.181014	1.998492	1.884286	1.739314	0	0	0	0	0	0	0	0	0	0	0	0	5.605789	4.932513	1.376077	0.170344	2.121835	3.846249	1.580668
MAG-127	56.62	1.515	49.045	Present	Absent	Present	14	Medium	0.637	6122	2401560	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	-	-	-	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Present	Absent	1	0.050197434	0.14907427	0.051632736	0.11449751	0.11990024	0.120912105	0.057983566	0.060214493	0.05871793	0.01875023	0.019497486	0.019210812	0.043981094	0.043257482	0.04425715	0.023514044	0.021916222	0.021063436	0.004598	0.004480378	0.004585337	0.02642935	0.028381998	0.02805957	0.020909125	0.021908984	0.021267286	0.064925775	0.06701197	0.066073306	0.17914195	0.19358377	0.054769628	0.03584755	0.10109947	0.054551773	0.047363106	1.464787	5.858846	1.5301055	3.223003	3.576766	3.463316	1.1973	1.285874	1.295787	0.021425	0	0.045645	0.789122	0.762361	0.775948	0.311505	0.341047	0.279987	0	0	0	0.079111	0.115818	0.126239	0.078553	0.042845	0.082878	0.045435	0.058643	0.063671	8.771381	6.490333	1.308814	0.329978	2.67134	0.975005	1.445974
MAG-128	85.73	2.853	71.465	Absent	Absent	Absent	17	Medium	0.658	5055	3309486	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA1943;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	Cr	2.713449535	8.15E-05	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	2	0.00437275	0.008535294	0.003694263	0.002027483	0.002105457	0.002138274	0.001211191	0.001460667	0.001364891	7.04E-04	6.96E-04	7.03E-04	0.00489209	0.004282611	0.004235865	0.005534191	0.006546526	0.006511675	0.003093283	0.002996085	0.003060986	0.013862531	0.015740464	0.016016094	0.004925885	0.005003007	0.005644394	0.14329104	0.16229528	0.16564415	0.010736675	0.004151196	9.53E-04	0.021887168	0.001641375	0.00325811	0.002077791	0.16514	0.407354	0.145923	0	0	0	0	0	0	0	0	0	0.150142	0.109266	0.110701	0.161199	0.215393	0.216451	0.070227	0	0.069552	0.472339	0.583183	0.59609	0.126666	0.121929	0.153609	4.405275	5.492898	5.611192	0.566696	0.097165	0	0.734869	0	0.076014	0
MAG-129	96.53	3.27	80.18	Absent	Absent	Absent	19	Medium	0.659	14938	3419766	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter;s__	Cr	2.721995143	2.17E-05	Absent	Absent	Absent	Present	Absent	Present	Absent	Present	Present	Absent	2	0.005656871	0.004142869	0.005507439	0.003114245	0.00343861	0.003307981	0.009217845	0.012709696	0.011923352	0.005241058	0.00578728	0.005907426	0.002368812	0.002408897	0.00238894	0.002293843	0.002979492	0.002859964	0.001612571	0.001682397	0.001736057	0.042656973	0.0723541	0.073206395	0.028257763	0.026449298	0.02665093	0.02058438	0.021153131	0.021119155	0.006469051	0.009748432	0.001231085	0.2569581	0.007399374	0.003043514	0.019367175	0.228054	0.217211	0.1627	0.074216	0.090192	0.083822	0.039435	0.033167	0.03442	0	0	0	0.082353	0.080852	0.071775	0.062689	0.083803	0.065559	0.035545	0.019139	0.039265	1.525032	2.823009	2.742899	0.924739	0.892478	0.903553	0.602045	0.700453	0.705879	0.380656	0.35327	0.032884	8.768629	0.0659625	0.084071	0.807959
MAG-130	96	6.566	63.17	Absent	Absent	Absent	18	Medium	0.673	43661	4084099	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Ancalomicrobiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__	Cr	4.548829763	4.65E-06	Absent	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	6	0.014021049	0.018862806	0.013955942	0.011682042	0.012171984	0.011500386	0.009382751	0.010058471	0.010333955	0.005170157	0.005690025	0.005577683	0.006638549	0.00700437	0.007132928	0.006382361	0.007281907	0.007138786	0.005423143	0.005193133	0.005398743	4.7603426	7.4297724	7.4234447	0.45083725	0.26915318	0.26734984	6.026287	7.295368	7.3616652	0.026766526	0.015708053	0.0075903	1.0616378	0.009820114	0.007961515	0.014129302	0.505694	0.534348	0.446643	0.360755	0.402141	0.371904	0.216757	0.218179	0.24296	0.131943	0.175139	0.159866	0.150495	0.171246	0.178354	0.097987	0.120869	0.144154	0.085645	0.087324	0.079781	169.816114	276.77904	269.339705	14.880702	9.158706	8.882982	166.606938	223.393573	227.753689	0.934313	0.528385	0.184035	36.364861	0.210875	0.169281	0.500422
MAG-131	91.79	2.56	78.99	Absent	Present	Absent	19	Medium	0.697	16283	4124646	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__;s__	-	-	-	Absent	Absent	Absent	Present	Absent	Absent	Present	Present	Present	Present	0	0.018524295	0.014560661	0.018352412	0.010429994	0.011368642	0.01097689	0.007784895	0.009568323	0.009657389	0.005244711	0.006291188	0.006003476	0.005043938	0.005193144	0.005181817	0.003789914	0.004649573	0.004632084	0.003772675	0.003846924	0.003933657	0.023274638	0.019682933	0.019704482	0.057584777	0.061939903	0.06356609	0.15186627	0.1872285	0.18911164	0.029174432	0.009250909	0.004977599	0.011660171	0.009604726	0.005714372	0.007011219	0.815671	0.634679	0.832296	0.334483	0.421974	0.410656	0.243173	0.305296	0.283571	0.141368	0.178905	0.171345	0.149984	0.144865	0.144472	0.10702	0.130222	0.125296	0.069772	0.051866	0.060954	0.710242	0.567281	0.568438	1.875554	2.158558	2.143633	4.436247	6.025182	6.131372	1.672419	0.373611	0.205422	0.381319	0.301972	0.1649565	0.329835
MAG-132	51.06	0.379	49.165	Absent	Present	Absent	8	Medium	0.657	7250	1854147	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__;s__	CK	2.763893768	8.43E-06	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	2	0.081955016	0.027635569	0.07642018	0.030423919	0.04192294	0.041521426	0.062113855	0.06826375	0.06757886	0.029404737	0.041570485	0.04088122	0.002832068	0.002911872	0.002940631	0.005792906	0.00720149	0.00693557	0.004520762	0.004817523	0.005003185	0.016100636	0.016457524	0.016116189	0.026171748	0.017984925	0.018550742	0.017888471	0.017179903	0.016303591	0.18608674	0.037340842	0.016722238	0.019762341	0.04063025	0.007810359	0.013269234	3.798107	1.325665	3.465628	1.015737	1.424174	1.43809	1.902569	2.201711	2.254056	1.109642	1.621924	1.617971	0.084311	0.078833	0.074791	0.147947	0.234261	0.21244	0.130879	0.105624	0.118665	0.480404	0.543166	0.528569	0.864459	0.642839	0.608387	0.44315	0.430728	0.407176	10.779239	1.394458	0.481603	0.736817	1.24891	0.222226	0.461955
MAG-133	98.88	3.481	81.475	Present	Present	Present	20	High	0.675	457305	4752574	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phreatobacteraceae;g__Phreatobacter;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Phreatobacter;s__	-	-	-	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Absent	Present	130	0.010770762	0.012231331	0.010174954	0.007824515	0.008369778	0.008358517	0.006489569	0.007508505	0.00751883	0.45723888	0.5254005	0.50848573	0.004200073	0.004083287	0.003736926	0.009617087	0.010687131	0.010643436	0.14524901	0.13824399	0.1465702	0.031456787	0.040191267	0.04106941	0.022242786	0.023136942	0.023713894	0.054904222	0.053774938	0.05550887	0.014667598	0.00747414	0.003670455	0.02926496	0.006322669	0.005033983	0.005552148	0.357488	0.547265	0.377857	0.205663	0.194817	0.245799	0.184196	0.205494	0.22102	17.680101	21.076422	20.548027	0.163055	0.14527	0.150329	0.389126	0.484286	0.464088	4.856135	4.780063	4.819225	1.168734	1.567538	1.578239	0.765398	0.862804	0.834271	1.893838	2.11782	2.219618	1.002946	0.226314	0.147509	1.075211	0.168979	0.200544	0.235067
