Protein	Original Contig	Protein FDR Confidence: Combined	Master	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Modifications	Cd_1	Cd_2	Cd_3	Ni_1	Ni_2	Ni_3	Cr_1	Cr_2	Cr_3	CK_1	CK_2	CK_3
custom_2109006_5	custom_2109006_5	High	IsMasterProtein	0	15.681	19	3	20	1	1	59.49	3	0	-	0	6979	6887	1860	1948	2157	670	1551	1791	0	0	1838
ODS73451.1	custom_1435002_2	High	IsMasterProtein	0	15.679	9	4	12	1	1	38.17	4	0	-	4455	3587	3760	0	0	0	6942	7478	6139	0	0	0
custom_59417_7	custom_59417_7	High	IsMasterProtein	0	15.676	7	5	12	3	1	30.61	5	0	-	9580	10580	10690	585	495	419	15627	18807	17911	0	0	527
custom_1320823_4	custom_1320823_4	High	IsMasterProtein	0	15.67	13	3	13	3	1	23.28	3	0	-	5872	5727	5637	13147	12899	13787	9738	11966	15549	1533	1963	1603
custom_548275_4	custom_548275_4	High	IsMasterProtein	0	15.669	18	4	6	0	1	17.15	4	1	-	0	0	0	908	626	0	0	2377	0	1154	1692	484
WP_136574816.1	custom_1054052_1	High	IsMasterProtein	0	15.662	9	5	9	2	1	23.5	5	0	-	1905	1634	1851	314	240	187	0	0	0	0	0	0
custom_2450193_4	custom_2450193_4	High	IsMasterProtein	0	15.662	9	5	27	1	1	63.46	5	0	-	12991	14618	13453	8414	8784	8399	1024	1146	0	8685	8277	8472
custom_2073800_35	custom_2073800_35	High	IsMasterProtein	0	15.657	13	5	8	1	1	17.91	5	0	-	0	3306	4409	5574	5036	4917	0	0	0	1914	1671	0
custom_1167158_2	custom_1167158_2	High	IsMasterProtein	0	15.656	30	3	13	3	1	35.99	3	0	-	3926	3790	3554	13781	15997	16382	4882	5816	5109	4265	3785	3494
custom_1409384_10	custom_1409384_10	High	IsMasterProtein	0	15.653	27	5	13	2	1	34.95	5	0	-	0	0	0	1453	945	867	4022	0	2144	8190	0	2185
custom_1163023_37	custom_1163023_37	High	IsMasterProtein	0	15.65	20	4	13	4	1	30.71	4	0	-	9549	9992	10144	3517	3260	3246	2416	2765	2372	4090	4185	4236
custom_2422653_71	custom_2422653_71	High	IsMasterProtein	0	15.647	50	5	14	2	1	31.1	5	2	-	45495	43330	43095	2277	2288	1772	21037	7675	7313	2712	5142	2944
custom_2063550_58	custom_2063550_58	High	IsMasterProtein	0	15.646	13	3	12	2	1	38.31	3	1	-	0	205	323	29855	32727	33730	668	545	0	316	512	272
custom_394685_2	custom_394685_2	High	IsMasterProtein	0	15.643	30	2	5	2	1	20.36	2	0	-	0	0	0	0	211	0	0	0	0	3966	4219	4115
TDJ24869.1	custom_2091675_1	High	IsMasterProtein	0	15.639	13	2	4	1	1	15.15	2	1	-	2959	2223	2465	0	0	0	0	0	0	637	754	804
custom_2626197_6	custom_2626197_6	High	IsMasterProtein	0	15.636	30	3	10	3	1	25.25	3	0	-	3988	8398	9571	8488	9040	8378	13264	15807	14462	4442	4671	5010
custom_1639859_9	custom_1639859_9	High	IsMasterProtein	0	15.624	21	4	8	4	1	21.17	4	0	-	623	727	1011	9122	8423	8536	0	431	0	1991	2582	2812
custom_15450_4	custom_15450_4	High	IsMasterProtein	0	15.615	27	5	11	3	1	27.67	5	2	-	14423	13295	16483	1759	1131	923	1045	580	8949	6359	5709	4885
WP_066800970.1	custom_1815943_2	High	IsMasterProtein	0	15.613	7	4	23	1	1	51.79	4	0	-	1214	1907	1736	0	0	747	1665	1492	1331	0	1180	238
WP_112745375.1	custom_1598615_1	High	IsMasterProtein	0	15.607	10	5	9	2	1	23.7	5	2	-	5939	5860	5091	0	0	306	2454	3356	3125	14986	14233	16957
WP_011479419.1	custom_2429023_1	High	IsMasterProtein	0	15.597	14	2	6	1	1	19.93	2	0	-	2724	1225	0	14032	8304	11015	0	1128	0	697	285	255
RPJ44264.1	custom_1175646_1	High	IsMasterProtein	0	15.59	20	4	16	2	1	40.02	4	0	-	0	0	0	0	276	0	0	0	2481	2436	2924	2794
WP_128900299.1	custom_1084237_2	High	IsMasterProtein	0	15.587	16	4	19	1	1	44.34	4	1	-	436	469	0	14624	17036	17028	3792	1464	1199	6731	5797	7069
OWQ83025.1	custom_504572_1	High	IsMasterProtein	0	15.577	12	3	17	2	1	52.45	3	0	-	2102	3612	3884	23036	16092	20019	0	0	0	0	0	0
custom_2527274_3	custom_2527274_3	High	IsMasterProtein	0	15.572	10	5	16	2	1	34.38	5	0	-	0	0	0	0	0	0	0	0	0	954	910	926
custom_1251264_3	custom_1251264_3	High	IsMasterProtein	0	15.562	19	5	12	2	1	27.54	5	0	-	1663	1313	1198	332	245	482	0	2453	2236	0	2096	0
custom_820607_4	custom_820607_4	High	IsMasterProtein	0	15.562	4	5	6	1	1	13.31	5	2	-	932	1124	1401	0	0	0	7254	9136	10147	2606	2321	2599
WP_014237572.1	custom_287742_1	High	IsMasterProtein	0	15.561	22	4	28	1	1	68.44	4	0	-	966	635	605	0	0	0	991	6111	4466	22440	19779	19948
WP_036233941.1	custom_1983265_4	High	IsMasterProtein	0	15.555	9	3	18	1	1	49.32	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1878291_2	custom_1878291_2	High	IsMasterProtein	0	15.549	30	5	6	3	1	13.77	5	2	-	5980	7259	5912	3885	3092	3240	3318	1914	2839	2463	2116	6106
WP_136515454.1	custom_775933_45	High	IsMasterProtein	0	15.542	7	4	13	0	1	35.99	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-
PTM52857.1	custom_1205286_26	High	IsMasterProtein	0	15.54	12	3	11	2	1	27.19	3	1	-	6296	5482	5843	471	0	126	534	1202	1353	1162	1489	0
custom_234441_12	custom_234441_12	High	IsMasterProtein	0	15.532	9	4	19	2	1	42.65	4	1	-	2580	4424	3475	581	751	750	13612	15869	14765	19414	18530	20602
WP_046486662.1	custom_2122803_1	High	IsMasterProtein	0	15.531	4	2	7	1	1	19.16	2	0	-	0	114	0	1043	1256	1490	0	0	0	0	0	0
RTL33265.1	custom_1386662_6	High	IsMasterProtein	0	15.529	31	4	17	1	1	39.45	4	1	-	3338	2909	2312	4889	5777	4229	0	0	0	0	983	788
custom_1617592_7	custom_1617592_7	High	IsMasterProtein	0	15.524	19	3	6	2	1	20.98	3	0	-	492	514	443	4159	1564	1420	565	0	649	96	1266	240
SBT05777.1	custom_1815991_1	High	IsMasterProtein	0	15.523	8	4	13	1	1	33.42	4	0	-	0	3331	2655	0	8442	8007	1743	0	0	8929	11395	10787
WP_056314387.1	custom_2590002_35	High	IsMasterProtein	0	15.517	11	4	8	1	1	23.66	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_015435439.1	custom_2232637_3	High	IsMasterProtein	0	15.516	18	3	24	1	1	71.97	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2067437_81	custom_2067437_81	High	IsMasterProtein	0	15.495	21	5	16	4	1	40.03	5	1	-	14777	15252	13220	0	0	729	28028	29421	25665	6210	6512	6509
BAN33946.1	custom_1889060_1	High	IsMasterProtein	0	15.494	19	5	13	1	1	33.56	5	3	-	19967	10991	14631	8074	8247	7516	14035	0	13671	2087	567	787
custom_718365_2	custom_718365_2	High	IsMasterProtein	0	15.491	10	5	7	5	1	17.88	5	0	-	3961	1763	3795	2730	2267	0	10209	2583	1830	9561	9223	9740
custom_1751261_2	custom_1751261_2	High	IsMasterProtein	0	15.484	18	3	7	3	1	22.97	3	0	-	1022	842	720	29814	24129	27743	1536	2525	3733	0	1523	2445
custom_1370516_18	custom_1370516_18	High	IsMasterProtein	0	15.473	11	4	10	2	1	28.33	4	0	-	0	0	0	0	0	0	776	2725	3049	5407	4951	5621
CAI08635.1	custom_2075823_4	High	IsMasterProtein	0	15.469	11	3	10	1	1	33.13	3	0	-	3210	1832	2594	0	1260	411	0	0	0	0	0	0
WP_083833987.1	custom_568132_1	High	IsMasterProtein	0	15.467	13	6	12	1	1	23.52	6	1	-	0	0	0	256	248	278	1963	1708	2062	675	523	617
custom_696391_2	custom_696391_2	High	IsMasterProtein	0	15.457	29	4	16	1	1	33.06	4	0	-	3645	0	0	2513	4797	2979	10176	8397	7482	13147	12203	14507
custom_896917_3	custom_896917_3	High	IsMasterProtein	0	15.453	17	2	3	1	1	11.33	2	0	-	2257	1927	1400	0	0	0	0	0	0	2552	3329	3122
WP_132707864.1	custom_1681385_1	High	IsMasterProtein	0	15.453	13	4	8	2	1	22.73	4	0	-	0	515	495	0	0	0	6156	3139	3584	0	0	0
custom_912855_1	custom_912855_1	High	IsMasterProtein	0	15.452	10	4	15	1	1	41.93	4	0	-	0	0	0	8953	10953	10586	0	0	0	0	239	198
WP_018606348.1	custom_2292204_3	High	IsMasterProtein	0	15.448	9	4	32	1	1	80.18	4	0	-	2105	2758	393	11622	10488	11536	0	0	0	1561	440	879
RUQ38957.1	custom_655769_1	High	IsMasterProtein	0	15.443	8	3	10	1	1	28.71	3	1	-	2929	4203	4105	0	0	0	0	0	0	1551	1350	1622
WP_006162812.1	custom_2235378_20	High	IsMasterProtein	0	15.437	11	3	13	1	1	35.61	3	1	-	12484	13765	11675	0	0	0	1917	1963	1851	17361	14323	15206
custom_1678487_15	custom_1678487_15	High	IsMasterProtein	0	15.433	9	5	6	5	1	16.05	5	0	-	4794	4543	4184	2062	646	913	0	1504	1499	0	2149	860
custom_1275164_4	custom_1275164_4	High	IsMasterProtein	0	15.427	20	4	8	4	1	22.12	4	0	-	15861	15639	16317	0	416	643	5293	4774	4088	3292	1096	1072
custom_1894094_15	custom_1894094_15	High	IsMasterProtein	0	15.421	9	4	12	2	1	28.45	4	1	-	30175	28359	31468	0	453	375	2629	605	424	831	418	965
custom_882373_4	custom_882373_4	High	IsMasterProtein	0	15.411	10	5	10	5	1	21.86	5	0	-	2282	1935	2228	0	0	0	0	0	174	227	256	0
PTT92148.1	custom_2395243_1	High	IsMasterProtein	0	15.407	14	4	6	1	1	17.78	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-
PKO56292.1	custom_1499935_1	High	IsMasterProtein	0	15.406	7	4	8	2	1	21.91	4	2	-	1099	1014	1284	2457	2726	2799	6012	3678	3332	1015	1768	1589
custom_918192_12	custom_918192_12	High	IsMasterProtein	0	15.387	31	3	6	3	1	21.2	3	0	-	5974	6595	5257	0	1041	0	3480	4705	0	863	0	1245
OGT10716.1	custom_1399472_4	High	IsMasterProtein	0	15.383	8	4	9	1	1	26.81	4	1	-	7297	5970	6009	4911	6281	5937	7427	8936	11125	2216	2292	1911
WP_090322841.1	custom_728009_4	High	IsMasterProtein	0	15.38	8	4	11	4	1	26.61	4	0	-	687	1147	1964	16322	16612	17130	0	0	0	13875	11457	12427
custom_159679_11	custom_159679_11	High	IsMasterProtein	0	15.378	18	5	8	5	1	21.03	5	0	-	3047	3624	3611	138	357	195	1144	0	477	1522	843	1518
WP_092754163.1	custom_2267555_1	High	IsMasterProtein	0	15.372	7	3	16	1	1	52.02	3	0	-	4226	2554	3067	4806	3432	3987	0	1869	1654	1769	0	0
TAG68670.1	custom_2027281_1	High	IsMasterProtein	0	15.34	14	4	23	0	1	67.34	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-
OGS82643.1	custom_1079290_1	High	IsMasterProtein	0	15.339	8	2	5	1	1	16.54	2	0	-	0	2548	2990	78	779	50	1760	2647	1839	0	0	0
PKO86789.1	custom_2056934_1	High	IsMasterProtein	0	15.338	6	3	9	2	1	22.65	3	1	-	738	0	1740	5764	6021	6085	0	2353	2312	1983	1893	2193
TDQ47100.1	custom_935973_5	High	IsMasterProtein	0	15.323	8	5	15	1	1	40.18	5	1	-	0	0	0	0	0	0	0	0	0	3754	4799	5238
WP_036209878.1	custom_2641277_19	High	IsMasterProtein	0	15.319	4	4	24	1	1	57.87	4	1	-	15434	14012	14385	37819	56244	49793	5253	4942	2905	0	0	0
WP_028498121.1	custom_197157_16	High	IsMasterProtein	0	15.319	24	2	7	1	1	22.61	2	0	-	0	0	0	0	0	0	4086	3955	4084	450	0	0
WP_015766974.1	custom_1347622_1	High	IsMasterProtein	0	15.31	9	3	12	1	1	35.31	3	0	-	16980	13208	13161	560	452	483	19145	19770	19287	1150	0	0
WP_107494436.1	custom_1908401_4	High	IsMasterProtein	0	15.309	27	3	30	0	1	70.93	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2063193_60	custom_2063193_60	High	IsMasterProtein	0	15.305	16	5	6	2	1	14.66	5	2	-	3634	3320	3159	949	1126	419	0	12607	10085	2347	2484	1706
WP_100378545.1	custom_2481055_1	High	IsMasterProtein	0	15.274	14	4	15	1	1	38.01	4	2	-	13370	12828	12344	11320	10968	10877	0	0	0	2194	2034	2045
custom_1930057_7	custom_1930057_7	High	IsMasterProtein	0	15.272	9	4	7	2	1	23.45	4	0	-	518	0	729	3447	3399	3110	0	0	0	0	0	0
WP_075147423.1	custom_2211504_6	High	IsMasterProtein	0	15.271	12	2	9	1	1	27.82	2	0	-	0	0	0	0	0	0	0	0	658	7114	5914	5481
WP_027458609.1	custom_1463444_12	High	IsMasterProtein	0	15.27	23	3	17	0	1	51.66	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1946596_18	custom_1946596_18	High	IsMasterProtein	0	15.268	38	4	5	1	1	14.36	4	2	-	3704	6843	7655	1080	917	1582	1295	2364	744	539	0	880
custom_451230_1	custom_451230_1	High	IsMasterProtein	0	15.267	12	4	12	3	1	36.04	4	0	-	5734	6275	5757	3298	3434	3390	1563	4316	3799	0	0	910
WP_005799500.1	custom_1243040_2	High	IsMasterProtein	0	15.265	11	5	30	0	1	75.97	5	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_1021409_14	custom_1021409_14	High	IsMasterProtein	0	15.259	34	3	12	1	1	39.86	3	1	-	7285	7584	7432	638	666	637	2842	2368	2918	298	392	0
custom_1379073_51	custom_1379073_51	High	IsMasterProtein	0	15.255	26	4	9	4	1	25.18	4	0	-	2568	2986	2707	0	0	0	0	0	4826	0	0	348
WP_093558235.1	custom_2040661_1	High	IsMasterProtein	0	15.245	7	5	9	1	1	20.01	5	2	-	4781	6373	6878	3331	3504	3509	0	310	442	471	508	665
WP_037516226.1	custom_1579341_33	High	IsMasterProtein	0	15.237	5	4	20	0	1	51.98	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2245680_4	custom_2245680_4	High	IsMasterProtein	0	15.225	34	3	19	3	1	62.4	3	0	-	21380	21043	19779	60974	60309	62240	21981	19121	17909	4059	3700	3586
custom_2073765_20	custom_2073765_20	High	IsMasterProtein	0	15.224	13	5	5	5	1	15.96	5	0	-	4786	4907	4667	1120	0	1125	1239	932	1163	5253	7381	3539
custom_1399705_35	custom_1399705_35	High	IsMasterProtein	0	15.222	14	3	10	1	1	33.75	3	0	-	2894	2889	3601	3836	4554	4240	0	0	0	773	846	651
custom_8180_5	custom_8180_5	High	IsMasterProtein	0	15.221	18	4	8	2	1	25.98	4	1	-	81250	81779	79813	1510	530	1306	381	607	0	8072	7685	6816
WP_090415884.1	custom_783896_1	High	IsMasterProtein	0	15.219	14	5	26	2	1	66.15	5	0	-	0	197	990	485	0	379	28681	0	18421	1475	1426	1519
PHY03308.1	custom_1349603_2	High	IsMasterProtein	0	15.215	2	2	12	1	1	28.78	2	0	-	3421	3639	4417	7362	10723	12351	605	1153	1433	4596	4318	5234
PKM16845.1	custom_492294_20	High	IsMasterProtein	0	15.211	10	4	8	1	1	23.08	4	0	-	785	735	693	0	694	706	0	0	0	0	133	0
custom_1643833_37	custom_1643833_37	High	IsMasterProtein	0	15.209	17	3	7	3	1	17.34	3	0	-	8823	10078	9866	510	483	368	1598	2370	2410	0	727	1016
custom_2529634_10	custom_2529634_10	High	IsMasterProtein	0	15.205	17	5	7	2	1	17.99	5	0	-	1676	2050	1376	1719	0	306	805	0	0	4936	5252	4769
OJW45619.1	custom_319045_1	High	IsMasterProtein	0	15.205	5	3	9	0	1	25.25	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_012696015.1	custom_228397_1	High	IsMasterProtein	0	15.201	13	4	27	1	1	56.67	4	0	-	1877	1428	1262	5315	5571	5375	3743	3877	2651	1975	1374	470
custom_1553011_4	custom_1553011_4	High	IsMasterProtein	0	15.198	25	5	11	1	1	23.65	5	0	-	746	1193	66	1992	0	37	2010	0	0	1095	1480	0
custom_770166_8	custom_770166_8	High	IsMasterProtein	0	15.188	11	3	15	1	1	41.08	3	0	-	2059	2946	2866	4110	3925	3524	2014	942	1550	329	0	241
custom_1173727_13	custom_1173727_13	High	IsMasterProtein	0	15.178	36	3	13	2	1	36.83	3	1	-	5266	7621	5910	11586	13568	14178	1751	536	1467	1569	656	1806
custom_761218_37	custom_761218_37	High	IsMasterProtein	0	15.172	11	4	8	3	1	20.06	4	0	-	1340	1673	2167	232	278	275	0	1522	0	537	824	671
WP_028873835.1	custom_1557237_1	High	IsMasterProtein	0	15.159	4	4	13	1	1	30.33	4	0	-	398	725	817	2914	3287	2863	0	0	0	0	0	0
WP_124538348.1	custom_1211843_1	High	IsMasterProtein	0	15.158	5	3	9	0	1	25.25	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_041515042.1	custom_407550_48	High	IsMasterProtein	0	15.15	11	3	9	1	1	28.93	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2088685_6	custom_2088685_6	High	IsMasterProtein	0	15.134	9	2	8	2	1	24.79	2	0	-	13005	11284	13235	178	0	0	7333	8303	7618	12425	13438	12798
custom_959077_9	custom_959077_9	High	IsMasterProtein	0	15.133	14	6	12	0	1	20.57	6	2	-	566	826	838	0	0	0	0	0	0	2491	2685	2507
PPC93060.1	custom_2083842_2	High	IsMasterProtein	0	15.123	4	3	9	1	1	27.96	3	1	-	3635	3652	3970	6725	3264	2064	0	0	0	750	0	0
AJG01641.1	custom_1082724_1	High	IsMasterProtein	0	15.114	18	4	31	1	1	77.89	4	0	-	0	0	0	0	40	44	1590	398	1553	135	198	177
custom_1073509_3	custom_1073509_3	High	IsMasterProtein	0	15.107	12	3	7	1	1	14.36	3	0	-	0	301	310	227	339	2328	559	0	0	534	3816	2183
WP_068862132.1	custom_962444_1	High	IsMasterProtein	0	15.094	11	3	10	1	1	27.98	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2110184_5	custom_2110184_5	High	IsMasterProtein	0	15.094	18	5	13	5	1	30.08	5	0	-	2390	3594	2717	4381	5044	4325	5541	8544	8267	791	295	0
custom_120166_2	custom_120166_2	High	IsMasterProtein	0	15.094	26	4	15	1	1	39.95	4	0	-	0	873	1010	873	976	856	0	0	0	0	0	0
custom_1442859_29	custom_1442859_29	High	IsMasterProtein	0	15.093	47	2	14	2	1	51.97	2	0	-	8756	14754	14603	1852	1009	2300	970	1126	1216	11001	10580	10612
WP_035678795.1	custom_635926_1	High	IsMasterProtein	0	15.093	11	4	12	0	1	31.83	4	1	-	0	1082	0	1274	521	528	3885	648	0	0	0	0
custom_367082_21	custom_367082_21	High	IsMasterProtein	0	15.092	4	4	7	1	1	22.74	4	0	-	0	364	426	0	0	0	0	961	1006	0	0	0
custom_1291237_5	custom_1291237_5	High	IsMasterProtein	0	15.09	26	3	6	3	1	26.45	3	0	-	13878	13209	12588	4112	4146	3941	0	0	0	664	674	233
OYY53605.1	custom_1257340_12	High	IsMasterProtein	0	15.086	9	4	17	0	1	39.41	4	0	-	-	-	-	-	-	-	-	-	-	-	-	-
GCL66284.1	custom_652471_1	High	IsMasterProtein	0	15.077	9	3	7	1	1	15.2	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_121579838.1	custom_2434384_1	High	IsMasterProtein	0	15.069	15	3	7	2	1	24.55	3	0	-	1011	161	428	3366	3511	3524	14867	19810	20531	0	0	0
WP_042084243.1	custom_250410_3	High	IsMasterProtein	0	15.068	6	3	31	1	1	71.02	3	0	-	0	0	0	0	0	0	0	1093	1986	0	0	0
custom_2632421_2	custom_2632421_2	High	IsMasterProtein	0	15.065	37	5	27	1	1	59.34	5	4	-	44700	44885	44400	16113	11952	14763	5367	12485	14870	12537	15215	12185
WP_035546513.1	custom_756073_4	High	IsMasterProtein	0	15.058	8	6	21	0	1	52.81	6	0	-	-	-	-	-	-	-	-	-	-	-	-	-
custom_2650254_13	custom_2650254_13	High	IsMasterProtein	0	15.052	10	5	7	1	1	18.48	5	0	-	1505	0	0	0	2956	0	0	0	0	2442	2341	2119
ODU58192.1	custom_662657_30	High	IsMasterProtein	0	15.051	23	3	15	2	1	38.44	3	0	-	1213	0	0	402	0	0	21070	28445	28715	10429	14842	20203
WP_034795833.1	custom_732591_1	High	IsMasterProtein	0	15.046	7	3	10	1	1	27.82	3	0	-	6856	10826	13999	672	3186	1426	4580	6038	6292	892	731	773
custom_2613793_4	custom_2613793_4	High	IsMasterProtein	0	15.045	38	3	23	1	1	71.36	3	1	-	19747	18951	21019	5071	5223	4598	15928	14491	16227	4285	4284	4167
custom_923239_7	custom_923239_7	High	IsMasterProtein	0	15.037	11	5	12	3	1	16.32	5	2	-	3829	3995	3991	702	419	1158	2199	0	830	1950	1936	2016
custom_646850_4	custom_646850_4	High	IsMasterProtein	0	15.024	11	3	6	1	1	9.35	3	0	-	238	0	0	2065	1867	1745	0	0	0	0	322	385
custom_1109084_11	custom_1109084_11	High	IsMasterProtein	0	15.024	8	3	12	1	1	34.35	3	0	-	0	524	0	0	184	0	0	0	0	8811	8708	7556
ANK80756.1	custom_322070_146	High	IsMasterProtein	0	15.015	25	2	7	1	1	21	2	0	-	1066	1433	1687	1271	0	124	1138	277	1164	229	152	174
custom_1326512_1	custom_1326512_1	High	IsMasterProtein	0	15.004	47	4	32	4	1	80.19	4	0	-	57574	59132	52318	109389	145666	121578	89779	85402	83798	10941	12067	10951
OGS68298.1	custom_430830_1	High	IsMasterProtein	0	14.996	8	3	8	1	1	26.92	3	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_076601781.1	custom_1542103_1	High	IsMasterProtein	0	14.996	11	5	11	3	1	26.08	5	2	-	10981	11681	11711	6740	8109	8026	6981	7909	1232	67951	53258	61732
custom_2558168_33	custom_2558168_33	High	IsMasterProtein	0	14.989	9	3	5	3	1	18.47	3	0	-	8818	7811	8928	517	0	0	0	0	0	0	0	0
PKO46430.1	custom_1170968_2	High	IsMasterProtein	0	14.981	17	3	19	2	1	50.8	3	1	-	10665	7947	7444	13732	14928	15129	3579	8224	4363	7667	8446	9166
WP_109041107.1	custom_1493356_37	High	IsMasterProtein	0	14.967	5	3	14	1	1	34.57	3	0	-	1176	0	388	0	0	0	0	0	0	1381	1309	1143
OGK20508.1	custom_90061_6	High	IsMasterProtein	0	14.967	6	3	12	1	1	31.46	3	0	-	2624	2443	2249	0	0	0	0	0	0	1227	1198	1195
custom_2347518_2	custom_2347518_2	High	IsMasterProtein	0	14.965	20	6	16	4	1	32.98	6	2	-	10338	9405	8716	3964	4185	3768	10051	11926	9617	644	1733	2240
custom_1515311_38	custom_1515311_38	High	IsMasterProtein	0	14.964	11	3	19	1	1	50.69	3	0	-	345	275	358	0	0	0	530	0	704	1301	1498	1191
custom_774817_3	custom_774817_3	High	IsMasterProtein	0	14.959	7	3	7	3	1	24.28	3	0	-	1265	1371	0	7479	8332	7958	820	1685	864	1124	1022	802
WP_083733981.1	custom_471117_5	High	IsMasterProtein	0	14.957	7	5	17	1	1	44.78	5	1	-	1038	1581	1141	1542	1837	1548	0	0	0	824	0	552
PJI38023.1	custom_1581928_1	High	IsMasterProtein	0	14.951	10	4	12	2	1	31.51	4	0	-	0	325	348	414	0	0	422	0	0	25880	25281	23458
custom_903604_2	custom_903604_2	High	IsMasterProtein	0	14.943	13	3	8	3	1	18.8	3	0	-	5502	5970	5260	5779	6484	6017	0	0	0	407	485	0
custom_769325_3	custom_769325_3	High	IsMasterProtein	0	14.943	27	5	9	5	1	20.23	5	0	-	7276	7885	7749	0	2174	2350	2010	1523	1017	687	1262	808
WP_087734096.1	custom_19851_1	High	IsMasterProtein	0	14.939	4	4	10	1	1	25.11	4	0	-	0	0	0	1751	1367	1694	4098	3556	3042	0	0	0
custom_381164_5	custom_381164_5	High	IsMasterProtein	0	14.933	23	3	6	2	1	15.06	3	1	-	5702	8090	6079	1238	1462	1662	22445	15091	14708	820	526	1243
custom_289222_1	custom_289222_1	High	IsMasterProtein	0	14.931	23	4	9	4	1	23.17	4	0	-	3550	4505	4562	0	1519	0	3497	1948	1773	14590	15322	15235
WP_091909339.1	custom_1835893_1	High	IsMasterProtein	0	14.91	9	5	12	0	1	19.03	5	2	-	1058	1005	988	641	150	890	0	0	0	309	423	304
KPK19987.1	custom_1482756_7	High	IsMasterProtein	0	14.905	11	3	11	1	1	46.79	3	0	-	1670	791	0	0	0	0	0	0	0	0	1541	0
custom_828381_34	custom_828381_34	High	IsMasterProtein	0	14.886	26	4	8	4	1	12.1	4	0	-	0	752	767	4267	8112	4172	32162	38038	38141	287	0	1663
WP_084220349.1	custom_2356955_18	High	IsMasterProtein	0	14.886	8	4	10	1	1	25.56	4	1	-	2212	2662	2401	0	0	238	0	0	0	1189	661	932
WP_079418842.1	custom_1121753_48	High	IsMasterProtein	0	14.886	10	2	17	1	1	57.54	2	0	-	0	0	0	0	0	0	2195	1487	0	4423	4222	4391
WP_010341337.1	custom_302090_2	High	IsMasterProtein	0	14.885	4	4	23	0	1	52.81	4	1	-	666	672	653	4498	4466	4893	0	2302	2241	0	945	632
OYZ55106.1	custom_88594_2	High	IsMasterProtein	0	14.877	7	5	18	1	1	49.94	5	3	-	21143	20037	23181	11178	10249	10548	8359	17601	13408	17198	15739	15936
custom_1076428_1	custom_1076428_1	High	IsMasterProtein	0	14.874	14	4	8	4	1	25.79	4	0	-	2496	3042	3982	127	165	0	1594	3060	2721	1420	938	769
RTL30493.1	custom_743041_1	High	IsMasterProtein	0	14.873	10	3	11	1	1	37.53	3	0	-	788	1254	772	1474	1545	1591	0	0	0	317	0	0
custom_1136758_4	custom_1136758_4	High	IsMasterProtein	0	14.861	31	3	6	2	1	19.69	3	1	-	2531	4575	7624	245	853	734	0	0	320	1773	2795	2793
KRP10551.1	custom_2513484_2	High	IsMasterProtein	0	14.861	11	4	12	1	1	32.44	4	0	-	758	0	898	278	157	186	0	1254	0	202	304	229
WP_072582832.1	custom_1166455_1	High	IsMasterProtein	0	14.857	12	3	20	1	1	57.01	3	0	-	1345	1724	1579	0	463	459	0	0	0	201	0	0
WP_078456181.1	custom_1736728_1	High	IsMasterProtein	0	14.856	7	2	17	2	1	47.13	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_114588697.1	custom_2483022_1	High	IsMasterProtein	0	14.855	15	5	14	4	1	31.23	5	0	-	567	230	0	257	577	1272	3576	7754	11542	13166	10768	10881
custom_2026286_33	custom_2026286_33	High	IsMasterProtein	0	14.852	18	3	7	2	1	17.01	3	1	-	4304	6164	5492	0	1813	468	0	2670	2273	2714	4003	2664
custom_17109_15	custom_17109_15	High	IsMasterProtein	0	14.847	3	5	6	5	1	16.15	5	0	-	519	732	540	278	134	158	0	2634	3332	2431	2387	2911
custom_227188_1	custom_227188_1	High	IsMasterProtein	0	14.846	13	4	11	2	1	25.09	4	2	-	15687	18378	18916	748	2228	2165	4977	4723	5146	2743	3517	3043
custom_257353_2	custom_257353_2	High	IsMasterProtein	0	14.845	8	3	10	1	1	27.67	3	0	-	1605	1054	0	583	1244	1126	0	1588	0	0	302	326
RJX32139.1	custom_1815769_11	High	IsMasterProtein	0	14.826	11	2	5	1	1	16.71	2	0	-	691	894	0	0	449	0	0	0	0	2129	2195	1765
