protein	ontology
WP_062358568.1	COG4771
WP_079433083.1	COG4771
WP_082793271.1	COG4771
WP_083537981.1	COG4771
WP_084019619.1	COG4771
WP_105998867.1	COG4771
WP_120217521.1	COG4771
WP_123690741.1	COG4771
WP_129776187.1	COG4771
OHC65946.1	COG4774
RIX42988.1	COG4774
RTL15944.1	COG4774
RTL36445.1	COG4774
WP_011286820.1	COG4774
WP_011483958.1	COG4774
WP_024930613.1	COG4774
WP_027457926.1	COG4774
WP_052433592.1	COG4774
WP_062352072.1	COG4774
WP_072598857.1	COG4774
WP_088484363.1	COG4774
EGK69921.1	COG4993
PKO86510.1	COG4993
RTK98152.1	COG4993
TEX44200.1	COG4993
WP_002923543.1	COG4993
WP_008060415.1	COG4993
WP_009553533.1	COG4993
WP_018411050.1	COG4993
WP_019918667.1	COG4993
WP_020087477.1	COG4993
WP_027457891.1	COG4993
WP_066336621.1	COG4993
WP_079433304.1	COG4993
WP_083567731.1	COG4993
WP_088177840.1	COG4993
WP_108414187.1	COG4993
WP_110399427.1	COG4993
WP_114969704.1	COG4993
AAM62210.1	COG5013
ODS71062.1	COG5013
OJY87033.1	COG5013
RTL04036.1	COG5013
RTL46920.1	COG5013
WP_012585584.1	COG5013
WP_027457213.1	COG5013
WP_054965449.1	COG5013
WP_056197883.1	COG5013
EXI74690.1	GO:0000015
EXI86829.1	GO:0000015
KFB66257.1	GO:0000015
KFB68186.1	GO:0000015
OLL99361.1	GO:0000015
PKO71921.1	GO:0000015
RUQ37377.1	GO:0000015
WP_048674821.1	GO:0000015
WP_084055521.1	GO:0000015
OGA79882.1	GO:0000162
PKO34179.1	GO:0000162
WP_079433243.1	GO:0000162
WP_109680178.1	GO:0000162
WP_136348850.1	GO:0000162
CUR08644.1	GO:0003746
EQB64020.1	GO:0003746
KIF34349.1	GO:0003746
KKR79619.1	GO:0003746
KRP10551.1	GO:0003746
ODU57472.1	GO:0003746
OIP11335.1	GO:0003746
OJU73943.1	GO:0003746
OJX70055.1	GO:0003746
OPH17454.1	GO:0003746
OYW19306.1	GO:0003746
OYZ00001.1	GO:0003746
PID31983.1	GO:0003746
PJI37961.1	GO:0003746
PKO29730.1	GO:0003746
PTM19938.1	GO:0003746
PZQ31060.1	GO:0003746
RKZ91889.1	GO:0003746
RMG26781.1	GO:0003746
RYE05967.1	GO:0003746
RYY12747.1	GO:0003746
TAG83693.1	GO:0003746
TAK66595.1	GO:0003746
TAN86363.1	GO:0003746
WP_004343146.1	GO:0003746
WP_005483729.1	GO:0003746
WP_012202327.1	GO:0003746
WP_013801447.1	GO:0003746
WP_016453856.1	GO:0003746
WP_019372615.1	GO:0003746
WP_026770526.1	GO:0003746
WP_027456679.1	GO:0003746
WP_027469922.1	GO:0003746
WP_034743456.1	GO:0003746
WP_039438947.1	GO:0003746
WP_043946424.1	GO:0003746
WP_053281820.1	GO:0003746
WP_053322368.1	GO:0003746
WP_056069295.1	GO:0003746
WP_057297243.1	GO:0003746
WP_062352460.1	GO:0003746
WP_066879157.1	GO:0003746
WP_067758259.1	GO:0003746
WP_076091607.1	GO:0003746
WP_076501246.1	GO:0003746
WP_076604510.1	GO:0003746
WP_077239469.1	GO:0003746
WP_092280200.1	GO:0003746
WP_093509984.1	GO:0003746
WP_102041780.1	GO:0003746
WP_106748007.1	GO:0003746
WP_106825664.1	GO:0003746
WP_108360503.1	GO:0003746
WP_108949974.1	GO:0003746
WP_114114452.1	GO:0003746
WP_114692163.1	GO:0003746
WP_115723606.1	GO:0003746
WP_115934849.1	GO:0003746
WP_116846679.1	GO:0003746
WP_122890902.1	GO:0003746
WP_126170335.1	GO:0003746
WP_126831844.1	GO:0003746
WP_133797155.1	GO:0003746
WP_136555888.1	GO:0003746
ADO63651.1	GO:0003924
AEF90741.1	GO:0003924
CUR08644.1	GO:0003924
EQB64020.1	GO:0003924
KIF34349.1	GO:0003924
KKR79619.1	GO:0003924
KPK32466.1	GO:0003924
KRP10551.1	GO:0003924
ODU57472.1	GO:0003924
OHC66784.1	GO:0003924
OIP11335.1	GO:0003924
OJU73943.1	GO:0003924
OJX70055.1	GO:0003924
OPH17454.1	GO:0003924
OYW19306.1	GO:0003924
OYZ00001.1	GO:0003924
OZA30779.1	GO:0003924
PID31983.1	GO:0003924
PJI37961.1	GO:0003924
PKO29730.1	GO:0003924
PTM19938.1	GO:0003924
RJT43053.1	GO:0003924
RKZ91889.1	GO:0003924
RMG26781.1	GO:0003924
RMM19594.1	GO:0003924
RTL27389.1	GO:0003924
RTL33523.1	GO:0003924
RYE05967.1	GO:0003924
RYY12747.1	GO:0003924
TAG83693.1	GO:0003924
TAK66595.1	GO:0003924
TAL00290.1	GO:0003924
TAN86363.1	GO:0003924
WP_004343146.1	GO:0003924
WP_005483729.1	GO:0003924
WP_011463684.1	GO:0003924
WP_012202327.1	GO:0003924
WP_012204834.1	GO:0003924
WP_016453856.1	GO:0003924
WP_019372615.1	GO:0003924
WP_020204933.1	GO:0003924
WP_026770526.1	GO:0003924
WP_027456679.1	GO:0003924
WP_027469922.1	GO:0003924
WP_034743456.1	GO:0003924
WP_039438947.1	GO:0003924
WP_043946424.1	GO:0003924
WP_053281820.1	GO:0003924
WP_053322368.1	GO:0003924
WP_056069295.1	GO:0003924
WP_056342529.1	GO:0003924
WP_057297243.1	GO:0003924
WP_062352460.1	GO:0003924
WP_066130768.1	GO:0003924
WP_067758259.1	GO:0003924
WP_076091607.1	GO:0003924
WP_076501246.1	GO:0003924
WP_076604510.1	GO:0003924
WP_077239469.1	GO:0003924
WP_079435682.1	GO:0003924
WP_079436387.1	GO:0003924
WP_092280200.1	GO:0003924
WP_093509984.1	GO:0003924
WP_106748007.1	GO:0003924
WP_106825664.1	GO:0003924
WP_107491773.1	GO:0003924
WP_108360503.1	GO:0003924
WP_114114452.1	GO:0003924
WP_114692163.1	GO:0003924
WP_115723606.1	GO:0003924
WP_115755556.1	GO:0003924
WP_115934849.1	GO:0003924
WP_116846679.1	GO:0003924
WP_122890902.1	GO:0003924
WP_126170335.1	GO:0003924
WP_126831844.1	GO:0003924
WP_133797155.1	GO:0003924
WP_136555888.1	GO:0003924
WP_136959975.1	GO:0003924
OGB48659.1	GO:0004013
TAD90173.1	GO:0004013
WP_013506879.1	GO:0004013
WP_020205948.1	GO:0004013
WP_062358397.1	GO:0004013
WP_062626449.1	GO:0004013
WP_088534965.1	GO:0004013
WP_107494321.1	GO:0004013
WP_129219830.1	GO:0004013
EXI68690.1	GO:0004108
EXI79150.1	GO:0004108
KFB68261.1	GO:0004108
KFB77946.1	GO:0004108
KPK19984.1	GO:0004108
PJI38023.1	GO:0004108
TAH41053.1	GO:0004108
TAK91950.1	GO:0004108
WP_004361350.1	GO:0004108
WP_007866641.1	GO:0004108
WP_011158456.1	GO:0004108
WP_011288588.1	GO:0004108
WP_028995009.1	GO:0004108
WP_068082899.1	GO:0004108
WP_075187930.1	GO:0004108
WP_084269874.1	GO:0004108
WP_090702123.1	GO:0004108
WP_108176835.1	GO:0004108
WP_114401430.1	GO:0004108
WP_117609045.1	GO:0004108
WP_121457279.1	GO:0004108
WP_133314182.1	GO:0004108
ADR31672.1	GO:0004129
ALB05717.1	GO:0004129
CCG96484.1	GO:0004129
EXI67863.1	GO:0004129
EXI79854.1	GO:0004129
KFB68332.1	GO:0004129
KFB68361.1	GO:0004129
KFB68366.1	GO:0004129
KFB75021.1	GO:0004129
KFB77654.1	GO:0004129
PLX75252.1	GO:0004129
PWB55871.1	GO:0004129
RTL40498.1	GO:0004129
RZJ15583.1	GO:0004129
SBT03244.1	GO:0004129
SMB26997.1	GO:0004129
TAM43965.1	GO:0004129
TEX48121.1	GO:0004129
WP_004305194.1	GO:0004129
WP_011286478.1	GO:0004129
WP_014428125.1	GO:0004129
WP_026781577.1	GO:0004129
WP_043742265.1	GO:0004129
WP_066155737.1	GO:0004129
WP_088178900.1	GO:0004129
WP_110523532.1	GO:0004129
RDE50182.1	GO:0004160
WP_002931890.1	GO:0004160
WP_004721665.1	GO:0004160
WP_011236835.1	GO:0004160
WP_066882891.1	GO:0004160
WP_132249930.1	GO:0004160
ODV10150.1	GO:0004356
OGT58397.1	GO:0004356
OIP10589.1	GO:0004356
RIK93028.1	GO:0004356
RTL29411.1	GO:0004356
RTL40888.1	GO:0004356
TEX46275.1	GO:0004356
WP_018409825.1	GO:0004356
WP_036248493.1	GO:0004356
WP_041096173.1	GO:0004356
WP_041322195.1	GO:0004356
WP_062356736.1	GO:0004356
WP_105531610.1	GO:0004356
WP_137101029.1	GO:0004356
EXI74690.1	GO:0004634
EXI86829.1	GO:0004634
KFB66257.1	GO:0004634
KFB68186.1	GO:0004634
OLL99361.1	GO:0004634
PKO71921.1	GO:0004634
RUQ37377.1	GO:0004634
WP_048674821.1	GO:0004634
WP_084055521.1	GO:0004634
ODS68942.1	GO:0004654
ODU88478.1	GO:0004654
OJX25964.1	GO:0004654
PZP29908.1	GO:0004654
RZL03004.1	GO:0004654
WP_049725106.1	GO:0004654
WP_062353565.1	GO:0004654
WP_066879881.1	GO:0004654
WP_106749718.1	GO:0004654
WP_121459553.1	GO:0004654
WP_124539589.1	GO:0004654
WP_129350806.1	GO:0004654
RTL28259.1	GO:0004784
WP_011288938.1	GO:0004784
WP_012205767.1	GO:0004784
WP_038361093.1	GO:0004784
WP_055936105.1	GO:0004784
WP_066886212.1	GO:0004784
WP_092615691.1	GO:0004784
WP_114804109.1	GO:0004784
WP_129130376.1	GO:0004784
CCG96484.1	GO:0005509
EGK69921.1	GO:0005509
KFB67148.1	GO:0005509
KFB74111.1	GO:0005509
KFB76138.1	GO:0005509
KFB77230.1	GO:0005509
KFB78193.1	GO:0005509
PKO86510.1	GO:0005509
PLX75252.1	GO:0005509
RTK98152.1	GO:0005509
RZJ15583.1	GO:0005509
SMB26997.1	GO:0005509
TAM43965.1	GO:0005509
TEX44200.1	GO:0005509
WP_002923543.1	GO:0005509
WP_004305194.1	GO:0005509
WP_008060415.1	GO:0005509
WP_009553533.1	GO:0005509
WP_014428125.1	GO:0005509
WP_018411050.1	GO:0005509
WP_019918667.1	GO:0005509
WP_020084077.1	GO:0005509
WP_020087439.1	GO:0005509
WP_020087477.1	GO:0005509
WP_026781577.1	GO:0005509
WP_027457891.1	GO:0005509
WP_043742265.1	GO:0005509
WP_056067606.1	GO:0005509
WP_066155737.1	GO:0005509
WP_066336621.1	GO:0005509
WP_079433304.1	GO:0005509
WP_083567731.1	GO:0005509
WP_088177840.1	GO:0005509
WP_088178900.1	GO:0005509
WP_110399427.1	GO:0005509
WP_110523532.1	GO:0005509
WP_132427270.1	GO:0005509
ADO63651.1	GO:0005525
AEF90741.1	GO:0005525
CUR08644.1	GO:0005525
EQB64020.1	GO:0005525
KIF34349.1	GO:0005525
KKR79619.1	GO:0005525
KPK32466.1	GO:0005525
KRP10551.1	GO:0005525
ODU57472.1	GO:0005525
OHC66784.1	GO:0005525
OIP11335.1	GO:0005525
OJU73943.1	GO:0005525
OJX70055.1	GO:0005525
OPH17454.1	GO:0005525
OYW19306.1	GO:0005525
OYZ00001.1	GO:0005525
OZA30779.1	GO:0005525
PID31983.1	GO:0005525
PIO48528.1	GO:0005525
PJI37961.1	GO:0005525
PKO29730.1	GO:0005525
PKO80563.1	GO:0005525
PKO86249.1	GO:0005525
PTM19938.1	GO:0005525
RJT43053.1	GO:0005525
RKZ91889.1	GO:0005525
RMG26781.1	GO:0005525
RMM19594.1	GO:0005525
RTL26778.1	GO:0005525
RTL27389.1	GO:0005525
RTL33523.1	GO:0005525
RTL40444.1	GO:0005525
RYE05967.1	GO:0005525
RYY12747.1	GO:0005525
SDH58430.1	GO:0005525
TAG83693.1	GO:0005525
TAK66595.1	GO:0005525
TAL00290.1	GO:0005525
TAN44664.1	GO:0005525
TAN86363.1	GO:0005525
TJW70054.1	GO:0005525
WP_004343146.1	GO:0005525
WP_005483729.1	GO:0005525
WP_011463684.1	GO:0005525
WP_012202327.1	GO:0005525
WP_012204834.1	GO:0005525
WP_015765855.1	GO:0005525
WP_016453856.1	GO:0005525
WP_019372615.1	GO:0005525
WP_020204933.1	GO:0005525
WP_026770526.1	GO:0005525
WP_027456454.1	GO:0005525
WP_027456679.1	GO:0005525
WP_027469922.1	GO:0005525
WP_034743456.1	GO:0005525
WP_039438947.1	GO:0005525
WP_043946424.1	GO:0005525
WP_053281820.1	GO:0005525
WP_053322368.1	GO:0005525
WP_056069295.1	GO:0005525
WP_056342529.1	GO:0005525
WP_057297243.1	GO:0005525
WP_062352460.1	GO:0005525
WP_066130768.1	GO:0005525
WP_067758259.1	GO:0005525
WP_075587032.1	GO:0005525
WP_076091607.1	GO:0005525
WP_076501246.1	GO:0005525
WP_076604510.1	GO:0005525
WP_077239469.1	GO:0005525
WP_079434945.1	GO:0005525
WP_079435682.1	GO:0005525
WP_079436387.1	GO:0005525
WP_092280200.1	GO:0005525
WP_093509984.1	GO:0005525
WP_106748007.1	GO:0005525
WP_106825664.1	GO:0005525
WP_107491773.1	GO:0005525
WP_108360503.1	GO:0005525
WP_114114452.1	GO:0005525
WP_114692163.1	GO:0005525
WP_115723606.1	GO:0005525
WP_115755556.1	GO:0005525
WP_115934849.1	GO:0005525
WP_116846679.1	GO:0005525
WP_117607915.1	GO:0005525
WP_122890902.1	GO:0005525
WP_126170335.1	GO:0005525
WP_126831844.1	GO:0005525
WP_133797155.1	GO:0005525
WP_136386368.1	GO:0005525
WP_136555888.1	GO:0005525
WP_136959975.1	GO:0005525
AJP49020.1	GO:0005840
AJP49033.1	GO:0005840
CCD39076.1	GO:0005840
EXI66804.1	GO:0005840
KFB72331.1	GO:0005840
OAI54434.1	GO:0005840
ODS60304.1	GO:0005840
ODS90680.1	GO:0005840
ODU09307.1	GO:0005840
OGA13314.1	GO:0005840
OGA34965.1	GO:0005840
OGT55153.1	GO:0005840
OGU19534.1	GO:0005840
OHE87325.1	GO:0005840
OIN90507.1	GO:0005840
OJV09993.1	GO:0005840
OJV60297.1	GO:0005840
OJW50010.1	GO:0005840
OLE93732.1	GO:0005840
OQW81897.1	GO:0005840
OQW98398.1	GO:0005840
OYT20277.1	GO:0005840
OYW11064.1	GO:0005840
PCI59715.1	GO:0005840
PIU42396.1	GO:0005840
PIV89193.1	GO:0005840
PKO26483.1	GO:0005840
PKO26552.1	GO:0005840
PKO29586.1	GO:0005840
PKO29598.1	GO:0005840
PKO36180.1	GO:0005840
PKO39028.1	GO:0005840
PKO41603.1	GO:0005840
PKO55703.1	GO:0005840
PKO56059.1	GO:0005840
PKO72474.1	GO:0005840
PLX71774.1	GO:0005840
PWJ85617.1	GO:0005840
PZN50251.1	GO:0005840
PZQ10929.1	GO:0005840
PZQ24905.1	GO:0005840
PZQ30938.1	GO:0005840
PZT89269.1	GO:0005840
RFC34779.1	GO:0005840
RIX49060.1	GO:0005840
RIX49066.1	GO:0005840
RIX49071.1	GO:0005840
RTL25783.1	GO:0005840
RTL25785.1	GO:0005840
RTL27825.1	GO:0005840
RTL28311.1	GO:0005840
RTL31940.1	GO:0005840
RTL33206.1	GO:0005840
RTL33524.1	GO:0005840
RTL34218.1	GO:0005840
RTL34219.1	GO:0005840
RTL34222.1	GO:0005840
RZA22287.1	GO:0005840
SMB23634.1	GO:0005840
TAF82130.1	GO:0005840
TDJ24869.1	GO:0005840
TEX48536.1	GO:0005840
TEX48537.1	GO:0005840
TEX50086.1	GO:0005840
WP_002923618.1	GO:0005840
WP_002931612.1	GO:0005840
WP_003059401.1	GO:0005840
WP_005663404.1	GO:0005840
WP_009552971.1	GO:0005840
WP_011237976.1	GO:0005840
WP_011237979.1	GO:0005840
WP_011237994.1	GO:0005840
WP_011289195.1	GO:0005840
WP_011298168.1	GO:0005840
WP_012202329.1	GO:0005840
WP_012202331.1	GO:0005840
WP_012202332.1	GO:0005840
WP_012202438.1	GO:0005840
WP_012202965.1	GO:0005840
WP_012202968.1	GO:0005840
WP_012204283.1	GO:0005840
WP_012206523.1	GO:0005840
WP_012206747.1	GO:0005840
WP_012207028.1	GO:0005840
WP_012207143.1	GO:0005840
WP_013766269.1	GO:0005840
WP_013804444.1	GO:0005840
WP_018150533.1	GO:0005840
WP_020395417.1	GO:0005840
WP_023594592.1	GO:0005840
WP_027456663.1	GO:0005840
WP_027456664.1	GO:0005840
WP_027456667.1	GO:0005840
WP_027456676.1	GO:0005840
WP_027456677.1	GO:0005840
WP_027456688.1	GO:0005840
WP_027457388.1	GO:0005840
WP_027459061.1	GO:0005840
WP_028994187.1	GO:0005840
WP_028995750.1	GO:0005840
WP_034997194.1	GO:0005840
WP_035061757.1	GO:0005840
WP_035933059.1	GO:0005840
WP_038304501.1	GO:0005840
WP_038312220.1	GO:0005840
WP_042417462.1	GO:0005840
WP_047217076.1	GO:0005840
WP_053422469.1	GO:0005840
WP_055898450.1	GO:0005840
WP_055941270.1	GO:0005840
WP_056878657.1	GO:0005840
WP_056880330.1	GO:0005840
WP_058721912.1	GO:0005840
WP_062352468.1	GO:0005840
WP_062354893.1	GO:0005840
WP_069039303.1	GO:0005840
WP_070465513.1	GO:0005840
WP_073133798.1	GO:0005840
WP_076091637.1	GO:0005840
WP_079432639.1	GO:0005840
WP_079432649.1	GO:0005840
WP_079432654.1	GO:0005840
WP_079432657.1	GO:0005840
WP_079432658.1	GO:0005840
WP_079432659.1	GO:0005840
WP_079432665.1	GO:0005840
WP_088388890.1	GO:0005840
WP_090319415.1	GO:0005840
WP_096449278.1	GO:0005840
WP_099407143.1	GO:0005840
WP_101049523.1	GO:0005840
WP_106747851.1	GO:0005840
WP_106748026.1	GO:0005840
WP_108173941.1	GO:0005840
WP_108178377.1	GO:0005840
WP_111434294.1	GO:0005840
WP_121427439.1	GO:0005840
WP_121456722.1	GO:0005840
WP_121457190.1	GO:0005840
WP_121458088.1	GO:0005840
WP_126177245.1	GO:0005840
WP_137100334.1	GO:0005840
ODS68942.1	GO:0006396
ODU88478.1	GO:0006396
OJW50712.1	GO:0006396
OJX25964.1	GO:0006396
PKO80563.1	GO:0006396
PKO94245.1	GO:0006396
PZP29908.1	GO:0006396
RTL34365.1	GO:0006396
RZL03004.1	GO:0006396
WP_049725106.1	GO:0006396
WP_062353565.1	GO:0006396
WP_066879881.1	GO:0006396
WP_079433476.1	GO:0006396
WP_106749718.1	GO:0006396
WP_121459553.1	GO:0006396
WP_124539589.1	GO:0006396
WP_129350806.1	GO:0006396
ODS68942.1	GO:0006402
ODU88478.1	GO:0006402
OJX25964.1	GO:0006402
PZP29908.1	GO:0006402
RZL03004.1	GO:0006402
WP_049725106.1	GO:0006402
WP_062353565.1	GO:0006402
WP_066879881.1	GO:0006402
WP_106749718.1	GO:0006402
WP_121459553.1	GO:0006402
WP_124539589.1	GO:0006402
WP_129350806.1	GO:0006402
CUR08644.1	GO:0006414
EQB64020.1	GO:0006414
KIF34349.1	GO:0006414
KKR79619.1	GO:0006414
KRP10551.1	GO:0006414
ODU57472.1	GO:0006414
OIP11335.1	GO:0006414
OJU73943.1	GO:0006414
OJX70055.1	GO:0006414
OPH17454.1	GO:0006414
OYW19306.1	GO:0006414
OYZ00001.1	GO:0006414
PID31983.1	GO:0006414
PJI37961.1	GO:0006414
PKO29730.1	GO:0006414
PTM19938.1	GO:0006414
PZQ31060.1	GO:0006414
RKZ91889.1	GO:0006414
RMG26781.1	GO:0006414
RYE05967.1	GO:0006414
RYY12747.1	GO:0006414
TAG83693.1	GO:0006414
TAK66595.1	GO:0006414
TAN86363.1	GO:0006414
WP_004343146.1	GO:0006414
WP_005483729.1	GO:0006414
WP_012202327.1	GO:0006414
WP_013801447.1	GO:0006414
WP_016453856.1	GO:0006414
WP_019372615.1	GO:0006414
WP_026770526.1	GO:0006414
WP_027456679.1	GO:0006414
WP_027469922.1	GO:0006414
WP_034743456.1	GO:0006414
WP_039438947.1	GO:0006414
WP_043946424.1	GO:0006414
WP_053281820.1	GO:0006414
WP_053322368.1	GO:0006414
WP_056069295.1	GO:0006414
WP_057297243.1	GO:0006414
WP_062352460.1	GO:0006414
WP_066879157.1	GO:0006414
WP_067758259.1	GO:0006414
WP_076091607.1	GO:0006414
WP_076501246.1	GO:0006414
WP_076604510.1	GO:0006414
WP_077239469.1	GO:0006414
WP_092280200.1	GO:0006414
WP_093509984.1	GO:0006414
WP_102041780.1	GO:0006414
WP_106748007.1	GO:0006414
WP_106825664.1	GO:0006414
WP_108360503.1	GO:0006414
WP_108949974.1	GO:0006414
WP_114114452.1	GO:0006414
WP_114692163.1	GO:0006414
WP_115723606.1	GO:0006414
WP_115934849.1	GO:0006414
WP_116846679.1	GO:0006414
WP_122890902.1	GO:0006414
WP_126170335.1	GO:0006414
WP_126831844.1	GO:0006414
WP_133797155.1	GO:0006414
WP_136555888.1	GO:0006414
APG95100.1	GO:0006457
KMV74149.1	GO:0006457
KMY86703.1	GO:0006457
OGA06426.1	GO:0006457
OGA25275.1	GO:0006457
OGK20508.1	GO:0006457
OGW20020.1	GO:0006457
PKO45489.1	GO:0006457
PKO85271.1	GO:0006457
PLY14764.1	GO:0006457
PYS86129.1	GO:0006457
PZQ23721.1	GO:0006457
RIX41521.1	GO:0006457
RIX45140.1	GO:0006457
RIX47554.1	GO:0006457
RPF97242.1	GO:0006457
RYD42434.1	GO:0006457
SBT09472.1	GO:0006457
WP_002711566.1	GO:0006457
WP_008115203.1	GO:0006457
WP_011236479.1	GO:0006457
WP_011286681.1	GO:0006457
WP_012204423.1	GO:0006457
WP_012204528.1	GO:0006457
WP_012207457.1	GO:0006457
WP_012207458.1	GO:0006457
WP_013744694.1	GO:0006457
WP_013801021.1	GO:0006457
WP_014074409.1	GO:0006457
WP_015434519.1	GO:0006457
WP_026685751.1	GO:0006457
WP_026687921.1	GO:0006457
WP_027456623.1	GO:0006457
WP_027473956.1	GO:0006457
WP_028994551.1	GO:0006457
WP_034795833.1	GO:0006457
WP_045465353.1	GO:0006457
WP_062352370.1	GO:0006457
WP_062352942.1	GO:0006457
WP_062355009.1	GO:0006457
WP_067170571.1	GO:0006457
WP_072397155.1	GO:0006457
WP_076094803.1	GO:0006457
WP_079686058.1	GO:0006457
WP_102246209.1	GO:0006457
WP_102648302.1	GO:0006457
WP_120048763.1	GO:0006457
WP_121276134.1	GO:0006457
WP_121583815.1	GO:0006457
WP_122124196.1	GO:0006457
WP_124649802.1	GO:0006457
WP_127089458.1	GO:0006457
WP_127255656.1	GO:0006457
WP_127860425.1	GO:0006457
WP_133857735.1	GO:0006457
WP_134195739.1	GO:0006457
RTL28259.1	GO:0006801
WP_011288938.1	GO:0006801
WP_012205767.1	GO:0006801
WP_038361093.1	GO:0006801
WP_055936105.1	GO:0006801
WP_066886212.1	GO:0006801
WP_092615691.1	GO:0006801
WP_114804109.1	GO:0006801
WP_129130376.1	GO:0006801
EEQ94142.1	GO:0006807
ODV10150.1	GO:0006807
OGT58397.1	GO:0006807
OIP10589.1	GO:0006807
OQW38587.1	GO:0006807
OQW83449.1	GO:0006807
RIK93028.1	GO:0006807
RTL29411.1	GO:0006807
RTL40888.1	GO:0006807
TAG77232.1	GO:0006807
TEX46180.1	GO:0006807
TEX46275.1	GO:0006807
WP_011285986.1	GO:0006807
WP_018409825.1	GO:0006807
WP_036248493.1	GO:0006807
WP_041096173.1	GO:0006807
WP_041322195.1	GO:0006807
WP_050417645.1	GO:0006807
WP_062356736.1	GO:0006807
WP_079433633.1	GO:0006807
WP_083537660.1	GO:0006807
WP_085276993.1	GO:0006807
WP_105531610.1	GO:0006807
WP_137101029.1	GO:0006807
ODS89253.1	GO:0006812
OJW81811.1	GO:0006812
PKO27867.1	GO:0006812
PZR31861.1	GO:0006812
WP_003073764.1	GO:0006812
WP_018506902.1	GO:0006812
WP_046238505.1	GO:0006812
WP_061955778.1	GO:0006812
WP_079435910.1	GO:0006812
WP_079436222.1	GO:0006812
WP_079436225.1	GO:0006812
WP_083281205.1	GO:0006812
WP_084019513.1	GO:0006812
WP_088179356.1	GO:0006812
WP_109040872.1	GO:0006812
WP_109041803.1	GO:0006812
WP_117608317.1	GO:0006812
OJX20211.1	GO:0008483
TEX49096.1	GO:0008483
WP_011287432.1	GO:0008483
WP_014853308.1	GO:0008483
WP_055400550.1	GO:0008483
WP_055935991.1	GO:0008483
WP_055941853.1	GO:0008483
WP_062356761.1	GO:0008483
WP_079435614.1	GO:0008483
WP_081194634.1	GO:0008483
WP_131187908.1	GO:0008483
BBG74083.1	GO:0008940
KFB69440.1	GO:0008940
ODS71062.1	GO:0008940
OJW48878.1	GO:0008940
OJY87033.1	GO:0008940
RTL04036.1	GO:0008940
RTL24866.1	GO:0008940
RTL46920.1	GO:0008940
STP13002.1	GO:0008940
TAL86698.1	GO:0008940
WP_004301710.1	GO:0008940
WP_012203041.1	GO:0008940
WP_012585584.1	GO:0008940
WP_020564490.1	GO:0008940
WP_021249830.1	GO:0008940
WP_026685578.1	GO:0008940
WP_027457213.1	GO:0008940
WP_027457638.1	GO:0008940
WP_054965449.1	GO:0008940
WP_056197883.1	GO:0008940
WP_070987526.1	GO:0008940
WP_079435464.1	GO:0008940
WP_087648738.1	GO:0008940
WP_094267261.1	GO:0008940
WP_096450825.1	GO:0008940
WP_110258092.1	GO:0008940
WP_117609637.1	GO:0008940
WP_121428012.1	GO:0008940
WP_132542637.1	GO:0008940
ABF61689.1	GO:0008976
EXI86266.1	GO:0008976
EXI91054.1	GO:0008976
KFB67261.1	GO:0008976
KFB67556.1	GO:0008976
KFB70730.1	GO:0008976
TAH13192.1	GO:0008976
ACF98171.1	GO:0009055
AHZ56225.1	GO:0009055
EXI73901.1	GO:0009055
EXI78944.1	GO:0009055
EXI85300.1	GO:0009055
EXI86426.1	GO:0009055
EXI87067.1	GO:0009055
EXI89313.1	GO:0009055
EXI90076.1	GO:0009055
EXI91059.1	GO:0009055
KFB69436.1	GO:0009055
KFB70735.1	GO:0009055
KFB71149.1	GO:0009055
KFB72864.1	GO:0009055
KFB73398.1	GO:0009055
KFB73937.1	GO:0009055
KFB74533.1	GO:0009055
KFB75051.1	GO:0009055
KFB75060.1	GO:0009055
KFB76053.1	GO:0009055
KFB76203.1	GO:0009055
KFB76429.1	GO:0009055
KFB77654.1	GO:0009055
KFB77698.1	GO:0009055
KFB77949.1	GO:0009055
KFB78542.1	GO:0009055
OAI45762.1	GO:0009055
ODU56528.1	GO:0009055
ODU58192.1	GO:0009055
OGA45015.1	GO:0009055
OHC61306.1	GO:0009055
OJX54805.1	GO:0009055
OZB12477.1	GO:0009055
PKO34560.1	GO:0009055
PKO34561.1	GO:0009055
PKO56461.1	GO:0009055
PKO59819.1	GO:0009055
PPC84733.1	GO:0009055
RIX41175.1	GO:0009055
RIX44040.1	GO:0009055
RMG33618.1	GO:0009055
RTK97250.1	GO:0009055
RTL24385.1	GO:0009055
RTL27654.1	GO:0009055
RTL29810.1	GO:0009055
RTL30765.1	GO:0009055
RTL37489.1	GO:0009055
RTL40498.1	GO:0009055
SBT03244.1	GO:0009055
SBT08714.1	GO:0009055
TAH50443.1	GO:0009055
TAH52643.1	GO:0009055
TAK48549.1	GO:0009055
TAN12461.1	GO:0009055
TEX49725.1	GO:0009055
WP_004301737.1	GO:0009055
WP_004324186.1	GO:0009055
WP_011287328.1	GO:0009055
WP_011827938.1	GO:0009055
WP_012435902.1	GO:0009055
WP_012486058.1	GO:0009055
WP_014238319.1	GO:0009055
WP_018151794.1	GO:0009055
WP_019227724.1	GO:0009055
WP_029000732.1	GO:0009055
WP_029526790.1	GO:0009055
WP_040040698.1	GO:0009055
WP_041098133.1	GO:0009055
WP_050417154.1	GO:0009055
WP_056876288.1	GO:0009055
WP_057674903.1	GO:0009055
WP_062135391.1	GO:0009055
WP_066885384.1	GO:0009055
WP_068491810.1	GO:0009055
